iter	Passed	Remaining
403	13508	19928
404	13513	19853
405	13519	19779
406	13524	19705
407	13529	19631
408	13535	19558
409	13540	19485
410	13546	19412
411	13551	19341
412	13557	19269
413	13562	19197
414	13568	19126
415	13573	19055
416	13578	18984
417	13584	18914
418	13590	18844
419	13595	18774
420	13600	18705
421	13606	18636
422	13611	18566
423	13618	18500
424	13624	18432
425	13629	18364
426	13634	18297
427	13639	18229
428	13645	18161
429	13650	18095
430	13655	18028
431	13661	17962
432	13667	17896
433	13672	17830
434	13677	17765
435	13683	17700
436	13689	17635
437	13694	17571
438	13699	17507
439	13704	17442
440	13710	17379
441	13715	17315
442	13721	17252
443	13726	17189
444	13732	17127
445	13737	17064
446	13743	17002
447	13748	16940
448	13754	16878
449	13759	16816
450	13764	16755
451	13770	16694
452	13775	16634
453	13780	16573
454	13786	16512
455	13791	16452
456	13796	16393
457	13802	16334
458	13808	16274
459	13813	16215
460	13819	16157
461	13824	16098
462	13829	16040
463	13835	15982
464	13840	15924
465	13845	15866
466	13852	15809
467	13857	15752
468	13863	15696
469	13869	15639
470	13874	15582
471	13879	15526
472	13885	15471
473	13892	15416
474	13898	15361
475	13904	15306
476	13911	15252
477	13927	15209
478	13937	15159
479	13945	15107
480	13955	15058
481	13964	15006
482	13972	14955
483	13980	14904
484	13988	14853
485	13995	14801
486	14002	14749
487	14009	14698
488	14015	14646
489	14023	14595
490	14029	14543
491	14036	14492
492	14043	14442
493	14049	14390
494	14054	14338
495	14060	14287
496	14066	14236
497	14072	14185
498	14079	14135
499	14085	14085
500	14091	14035
501	14098	13986
502	14105	13937
503	14111	13887
504	14117	13838
505	14123	13788
506	14130	13739
507	14136	13691
508	14142	13642
509	14148	13593
510	14154	13545
511	14160	13496
512	14166	13448
513	14172	13400
514	14178	13352
515	14184	13304
516	14192	13259
517	14201	13214
518	14211	13170
519	14218	13124
520	14226	13079
521	14234	13034
522	14241	12988
523	14250	12944
524	14257	12899
525	14265	12854
526	14272	12810
527	14280	12765
528	14288	12721
529	14296	12677
530	14303	12633
531	14310	12588
532	14316	12544
533	14323	12499
534	14330	12455
535	14337	12411
536	14343	12367
537	14350	12323
538	14357	12279
539	14365	12237
540	14371	12193
541	14378	12150
542	14385	12107
543	14392	12064
544	14398	12021
545	14404	11977
546	14411	11934
547	14416	11891
548	14423	11849
549	14429	11805
550	14434	11762
551	14440	11719
552	14445	11676
553	14451	11634
554	14456	11591
555	14461	11548
556	14467	11506
557	14472	11463
558	14477	11421
559	14483	11380
560	14489	11338
561	14493	11296
562	14498	11253
563	14503	11212
564	14508	11170
565	14513	11128
566	14518	11087
567	14523	11046
568	14530	11006
569	14535	10965
570	14540	10924
571	14545	10883
572	14551	10843
573	14556	10802
574	14561	10762
575	14565	10722
576	14570	10682
577	14576	10642
578	14581	10602
579	14586	10562
580	14591	10523
581	14597	10484
582	14602	10444
